CustomerID,FullName,Gender,Age,Email,Phone,City,State,MembershipTier,JoinDate,TotalBookings,PreferredSport,IsActive
CUST00001,Aryan Maharaj,Male,30,udantdewan@example.net,9218196001,Bengaluru,Karnataka,Bronze,2024-01-26,2,Football,Yes
CUST00002,Gagan Sami,Female,53,balangirik@example.org,9402654235,Ahmedabad,Gujarat,Bronze,2025-03-05,4,Hockey,Yes
CUST00003,Yashasvi Bala,Male,45,onikannan@example.com,9816184959,Delhi,Delhi,Bronze,2025-09-10,4,Cricket,Yes
CUST00004,Abeer Dutta,Male,30,roak@example.org,9164752553,Mumbai,Maharashtra,Silver,2026-03-02,4,Cricket,Yes
CUST00005,Gayathri Chaudry,Male,45,raigunbir@example.com,9648350305,Hyderabad,Telangana,Silver,2025-06-30,4,Cricket,Yes
CUST00006,Aishani Bassi,Male,57,hyadav@example.com,9767242388,Kolkata,West Bengal,Bronze,2026-06-16,5,Hockey,No
CUST00007,Chaaya Pathak,Male,48,ekarajbath@example.net,9710122691,Kochi,Kerala,Bronze,2025-01-05,1,Pickleball,Yes
CUST00008,Bimala Buch,Other,23,harrisonrai@example.com,9845146270,Ahmedabad,Gujarat,Platinum,2026-05-31,5,Tennis,No
CUST00009,Janya Gaba,Other,35,isha34@example.net,9893252880,Hyderabad,Telangana,Silver,2025-06-03,6,Pickleball,Yes
CUST00010,Onveer Walla,Male,19,nihalshere@example.com,9391171822,Delhi,Delhi,Silver,2026-05-01,2,Badminton,Yes
CUST00011,Theodore Nair,Other,60,karnikazad@example.com,9346578713,Kolkata,West Bengal,Bronze,2025-03-09,5,Volleyball,Yes
CUST00012,Amrita Bhatti,Male,16,divyakala@example.net,9103105183,Ahmedabad,Gujarat,Bronze,2024-08-23,3,Pickleball,Yes
CUST00013,Meghana Shanker,Other,46,alkadewan@example.org,9376311656,Hyderabad,Telangana,Silver,2026-01-10,6,Football,Yes
CUST00014,Priya Rastogi,Other,37,theodore28@example.com,9133387262,Bengaluru,Karnataka,Bronze,2024-03-03,7,Basketball,No
CUST00015,Champak Choudhary,Male,19,nathanielsami@example.net,9801326773,Bengaluru,Karnataka,Gold,2025-03-29,11,Football,Yes
CUST00016,Lekha Raj,Female,34,qwadhwa@example.net,9687234309,Chennai,Tamil Nadu,Gold,2025-02-03,3,Football,Yes
CUST00017,Ishwar Yadav,Female,48,harini14@example.com,9820812191,Chennai,Tamil Nadu,Silver,2024-02-21,5,Basketball,Yes
CUST00018,Sudiksha Aggarwal,Other,18,xiti28@example.org,9916998543,Kolkata,West Bengal,Silver,2024-09-09,5,Volleyball,Yes
CUST00019,Yashica Issac,Female,45,kashviedwin@example.net,9510799118,Kochi,Kerala,Bronze,2024-05-14,3,Tennis,Yes
CUST00020,Ekiya Suresh,Female,34,choudhuryjanani@example.com,9278498084,Delhi,Delhi,Platinum,2024-03-11,6,Cricket,No
CUST00021,Dalbir Khosla,Male,51,chadavedika@example.org,9244935348,Hyderabad,Telangana,Silver,2024-09-27,5,Football,Yes
CUST00022,Kabir Soman,Male,16,alkawable@example.net,9524278680,Kochi,Kerala,Bronze,2026-04-29,1,Badminton,Yes
CUST00023,Siddharth Zacharia,Male,43,devikarastogi@example.net,9204505331,Delhi,Delhi,Bronze,2025-08-19,3,Hockey,No
CUST00024,Raksha Varughese,Male,42,pdara@example.org,9025634216,Hyderabad,Telangana,Gold,2024-08-30,4,Pickleball,Yes
CUST00025,Hamsini Bail,Male,30,thomasamble@example.org,9036541458,Coimbatore,Tamil Nadu,Bronze,2024-12-24,5,Volleyball,No
CUST00026,Veer Bir,Male,53,narayananekavir@example.net,9401965569,Bengaluru,Karnataka,Platinum,2026-06-17,2,Cricket,Yes
CUST00027,Arya Sunder,Male,43,kevinsolanki@example.org,9088356159,Kolkata,West Bengal,Bronze,2024-07-13,5,Cricket,Yes
CUST00028,Niharika Gupta,Other,42,chatterjeeraagini@example.com,9564823662,Pune,Maharashtra,Silver,2025-06-03,4,Tennis,Yes
CUST00029,Nirja Sibal,Male,43,chaudharidarsh@example.com,9995777387,Chennai,Tamil Nadu,Gold,2024-11-07,7,Badminton,Yes
CUST00030,Ikbal Kothari,Other,37,ranveeryadav@example.com,9134332003,Pune,Maharashtra,Platinum,2025-06-11,4,Cricket,Yes
CUST00031,Pahal Goswami,Female,41,turvi31@example.com,9320163287,Kolkata,West Bengal,Bronze,2024-07-18,4,Basketball,No
CUST00032,Chandresh Zachariah,Female,58,chanderwarjas@example.org,9889579868,Bengaluru,Karnataka,Silver,2025-04-12,4,Badminton,Yes
CUST00033,Vedika Srivastava,Male,56,nandinibhargava@example.org,9487347143,Coimbatore,Tamil Nadu,Bronze,2025-04-05,4,Volleyball,No
CUST00034,Aarnav Ramakrishnan,Male,40,suhani46@example.net,9231665876,Bengaluru,Karnataka,Bronze,2024-05-21,1,Hockey,Yes
CUST00035,Mohammed Gupta,Other,40,teerth09@example.net,9705466889,Kolkata,West Bengal,Gold,2025-12-13,4,Pickleball,Yes
CUST00036,Dipta Bhandari,Female,37,soodyadavi@example.net,9627298069,Kochi,Kerala,Silver,2025-05-12,3,Football,Yes
CUST00037,Dakshesh Trivedi,Male,19,grewalekapad@example.net,9465375564,Kochi,Kerala,Gold,2024-05-18,6,Hockey,Yes
CUST00038,Wahab Raval,Other,50,koshybalveer@example.net,9053100330,Bengaluru,Karnataka,Silver,2025-04-26,3,Basketball,Yes
CUST00039,Oni Virk,Female,60,advika35@example.org,9452991241,Bengaluru,Karnataka,Silver,2025-07-31,3,Tennis,Yes
CUST00040,Meghana Deep,Male,53,tanvi51@example.org,9314919058,Kochi,Kerala,Silver,2025-02-10,5,Volleyball,Yes
CUST00041,Harish Borah,Female,22,yashawinilanka@example.org,9657262849,Delhi,Delhi,Gold,2024-01-13,4,Pickleball,Yes
CUST00042,Ekapad Konda,Male,21,bhavani27@example.net,9473799650,Kolkata,West Bengal,Silver,2024-10-01,1,Volleyball,Yes
CUST00043,Abhiram Mistry,Female,33,desaiaishani@example.org,9948083136,Mumbai,Maharashtra,Silver,2024-12-29,4,Basketball,Yes
CUST00044,Nachiket Magar,Male,34,shivansh53@example.net,9363495788,Coimbatore,Tamil Nadu,Bronze,2025-04-03,4,Volleyball,Yes
CUST00045,Yashasvi Suresh,Female,30,charan16@example.com,9135182337,Coimbatore,Tamil Nadu,Bronze,2024-10-04,1,Tennis,No
CUST00046,Aarush Nath,Female,27,adwetaedwin@example.net,9408240084,Mumbai,Maharashtra,Silver,2024-10-30,3,Badminton,Yes
CUST00047,Prisha Andra,Other,34,borramanthan@example.net,9777520471,Coimbatore,Tamil Nadu,Gold,2024-04-15,2,Hockey,Yes
CUST00048,Kala Divan,Male,25,cdatta@example.com,9941318699,Kolkata,West Bengal,Gold,2025-10-06,3,Basketball,Yes
CUST00049,Balveer Parmar,Female,53,zaidchauhan@example.com,9649909133,Kochi,Kerala,Bronze,2025-04-06,4,Cricket,Yes
CUST00050,Mohammed Khalsa,Male,16,petersachar@example.org,9679740344,Hyderabad,Telangana,Gold,2025-07-19,2,Pickleball,Yes
CUST00051,Gaurangi Sabharwal,Other,58,amaradutta@example.net,9361832421,Mumbai,Maharashtra,Bronze,2024-09-27,4,Tennis,Yes
CUST00052,Lavanya Barad,Male,45,mkapadia@example.com,9464887719,Kolkata,West Bengal,Bronze,2024-10-22,2,Hockey,Yes
CUST00053,Dalaja Kari,Male,30,arjunhans@example.com,9990490278,Kolkata,West Bengal,Silver,2024-09-13,6,Tennis,Yes
CUST00054,Arya Boase,Female,21,indali86@example.net,9756551256,Kolkata,West Bengal,Silver,2025-03-22,7,Tennis,Yes
CUST00055,Ayaan D’Alia,Male,45,pranav94@example.org,9154516808,Kochi,Kerala,Silver,2026-04-13,4,Football,Yes
CUST00056,Radha Pai,Other,44,rajata98@example.org,9034824771,Delhi,Delhi,Bronze,2025-09-29,1,Basketball,Yes
CUST00057,Ranveer Kumar,Other,42,sarinaarav@example.net,9131712748,Pune,Maharashtra,Gold,2025-07-18,6,Hockey,Yes
CUST00058,Januja Sankar,Other,25,narayanandipta@example.net,9639821465,Coimbatore,Tamil Nadu,Platinum,2024-09-06,7,Tennis,Yes
CUST00059,Charita Tripathi,Other,53,nilima56@example.net,9727875588,Pune,Maharashtra,Bronze,2026-01-13,5,Volleyball,No
CUST00060,Joshua Handa,Male,42,rraghavan@example.net,9057662702,Mumbai,Maharashtra,Silver,2025-08-08,7,Volleyball,No
CUST00061,Charvi Ravi,Female,16,modibhavini@example.org,9262174596,Coimbatore,Tamil Nadu,Silver,2024-04-12,2,Volleyball,No
CUST00062,Ekanta Shroff,Other,47,rsathe@example.org,9809134316,Ahmedabad,Gujarat,Platinum,2025-01-24,4,Cricket,Yes
CUST00063,Omkaar Chad,Female,19,yutika95@example.org,9455623869,Pune,Maharashtra,Silver,2024-01-30,4,Badminton,Yes
